venta_id,cliente_id,paciente_id,producto,cantidad,fecha_venta
1,77,437,Girl,1,2023-04-16
2,348,969,Live,3,2024-09-05
3,183,970,Worry,1,2022-11-17
4,418,117,Success,5,2024-12-12
5,139,211,Character,5,2024-12-16
6,470,83,Base,2,2023-08-13
7,78,544,Speak,2,2022-10-23
8,6,631,Hot,5,2024-11-30
9,88,627,Job,2,2024-03-18
10,88,15,Current,3,2023-06-25
11,357,824,Production,2,2024-01-10
12,133,281,Draw,3,2024-10-26
13,454,466,Build,1,2024-06-10
14,488,380,Point,3,2025-06-10
15,432,837,Color,4,2023-07-11
16,382,155,Section,1,2022-11-10
17,214,586,Sense,2,2023-10-09
18,287,247,Human,3,2023-01-13
19,120,708,Money,1,2024-06-25
20,154,644,Voice,2,2024-02-04
21,475,85,Card,2,2024-06-05
22,234,471,Stand,2,2025-07-13
23,87,96,Dinner,5,2024-12-26
24,378,441,Feel,4,2022-12-02
25,24,820,Own,2,2025-01-01
26,477,425,Pattern,5,2022-11-01
27,479,906,Account,4,2023-03-01
28,494,202,Traditional,3,2023-08-22
29,169,504,Be,3,2022-11-29
30,187,462,Nature,5,2023-04-17
31,123,247,Product,2,2023-04-07
32,421,3,Spend,2,2024-08-03
33,369,555,Happen,3,2023-05-10
34,216,393,And,1,2023-01-21
35,177,598,Too,2,2023-06-22
36,445,357,Couple,4,2024-10-03
37,229,10,Lose,4,2025-03-06
38,57,111,Citizen,1,2024-01-06
39,181,527,Position,5,2023-02-16
40,396,829,Road,2,2024-05-18
41,68,62,Debate,3,2025-08-19
42,124,426,Meeting,4,2024-09-08
43,275,212,And,2,2023-01-08
44,415,310,Quickly,2,2023-05-27
45,288,247,Training,4,2023-08-19
46,17,987,Really,5,2023-04-21
47,156,277,Wall,4,2025-09-01
48,287,524,City,5,2023-05-18
49,356,341,Mission,3,2023-01-29
50,300,174,Stock,2,2023-10-10
51,423,585,Without,3,2023-02-24
52,443,100,Join,1,2023-05-26
53,152,71,Ready,2,2023-08-03
54,106,699,Prepare,5,2022-11-29
55,336,400,Production,3,2025-06-27
56,374,757,Many,2,2025-01-27
57,145,581,Blood,4,2023-12-27
58,465,340,Learn,2,2023-11-24
59,425,474,Newspaper,2,2024-08-26
60,402,860,Worker,2,2023-03-03
61,342,404,Loss,3,2024-06-17
62,308,42,Name,4,2025-06-04
63,371,887,Anyone,4,2024-08-08
64,277,782,Song,4,2023-11-10
65,311,312,Hour,5,2023-03-14
66,406,376,Particularly,4,2023-10-05
67,406,68,Half,1,2025-03-24
68,327,812,View,2,2023-06-17
69,375,772,View,4,2023-04-30
70,484,851,Treatment,3,2025-06-04
71,205,508,Economic,2,2022-11-07
72,243,801,Son,1,2024-02-03
73,228,718,Within,3,2023-05-05
74,165,483,Author,3,2023-07-12
75,257,357,Week,2,2023-10-31
76,270,356,Sound,3,2022-09-30
77,166,206,Fund,1,2024-06-08
78,379,581,Current,5,2025-07-22
79,403,692,Single,4,2025-01-25
80,454,13,Somebody,2,2024-06-25
81,377,975,Stage,2,2025-05-02
82,33,367,Evidence,5,2024-07-14
83,494,856,Without,2,2023-06-07
84,174,464,Operation,5,2023-02-12
85,85,613,Both,4,2022-12-30
86,485,54,Green,5,2023-06-12
87,310,63,Adult,1,2025-02-17
88,352,528,Five,3,2023-11-18
89,9,413,Experience,4,2024-04-09
90,238,784,Soldier,1,2024-08-23
91,81,823,Both,3,2023-03-31
92,465,839,Quickly,4,2023-02-18
93,21,464,Technology,2,2023-08-11
94,16,872,Four,1,2022-12-02
95,119,613,Want,4,2023-06-26
96,320,657,Her,5,2025-04-07
97,246,950,Mrs,3,2024-02-03
98,260,169,Study,3,2025-05-04
99,3,452,At,1,2024-02-18
100,202,891,Left,2,2022-11-15
101,201,72,Someone,2,2024-03-05
102,20,588,Stay,5,2023-07-03
103,233,359,His,4,2024-08-15
104,195,8,Interview,2,2023-03-23
105,59,322,Opportunity,3,2024-04-11
106,299,651,Order,5,2024-12-07
107,139,138,Shake,1,2025-06-23
108,110,970,Enjoy,3,2024-01-19
109,258,355,Their,1,2023-10-08
110,331,870,Be,4,2025-02-11
111,170,813,Move,4,2023-05-31
112,465,553,Dark,2,2023-08-26
113,163,992,Beat,2,2024-07-10
114,365,597,Agree,2,2022-12-03
115,328,571,Scientist,4,2023-12-19
116,335,144,Him,2,2023-10-27
117,493,859,Answer,2,2024-05-31
118,144,386,Week,5,2025-06-24
119,435,447,Age,1,2025-05-12
120,468,105,Food,5,2023-07-28
121,472,816,How,5,2023-08-17
122,129,580,Effort,2,2024-10-01
123,271,278,Fine,2,2023-12-10
124,236,960,Talk,4,2023-11-18
125,108,926,Assume,2,2023-08-28
126,63,514,Program,5,2024-12-12
127,297,815,Six,1,2023-10-24
128,387,857,Fight,3,2023-05-13
129,167,336,Build,4,2024-07-22
130,73,735,Store,2,2023-01-30
131,382,46,Bit,3,2024-04-06
132,466,27,Face,1,2024-08-25
133,67,64,Picture,2,2025-04-24
134,279,63,Coach,4,2024-12-30
135,278,357,Heavy,2,2023-09-25
136,245,534,To,4,2025-03-17
137,10,698,Order,2,2024-08-11
138,186,793,Whom,5,2024-04-20
139,178,747,Then,4,2023-03-05
140,363,319,Then,5,2024-11-10
141,234,294,Treatment,4,2025-05-04
142,366,438,Too,2,2024-01-07
143,234,522,Camera,2,2024-03-09
144,366,989,Church,2,2023-06-12
145,265,537,Yes,2,2024-05-24
146,175,840,Voice,3,2024-07-22
147,387,348,Society,5,2023-12-02
148,168,565,City,3,2023-04-04
149,491,908,Draw,5,2022-11-04
150,337,544,President,3,2023-07-07
151,135,541,Interest,1,2023-08-26
152,303,807,Industry,3,2023-01-12
153,277,158,Since,2,2024-12-28
154,339,274,Risk,2,2022-11-20
155,202,976,In,2,2024-01-05
156,299,481,Color,1,2025-08-08
157,15,977,Imagine,5,2024-12-01
158,67,232,Audience,3,2024-01-29
159,83,959,Remain,3,2025-08-26
160,285,901,Company,4,2024-05-05
161,22,462,Only,2,2024-10-08
162,449,906,Mention,1,2023-10-02
163,270,967,Road,1,2025-08-30
164,364,900,Allow,2,2024-11-05
165,195,401,Program,2,2022-11-06
166,44,619,At,2,2025-05-08
167,421,449,Light,3,2025-07-04
168,336,355,Forget,1,2025-02-12
169,415,918,Step,4,2025-07-08
170,472,596,Blue,2,2023-12-31
171,442,706,Until,5,2024-12-08
172,401,371,Form,1,2023-07-24
173,70,981,Admit,1,2023-07-24
174,259,994,Whatever,3,2024-06-15
175,333,844,Social,3,2023-08-29
176,150,800,Available,1,2024-08-12
177,157,326,Quite,4,2024-12-07
178,65,435,Defense,1,2024-08-08
179,329,8,Its,1,2025-01-12
180,13,135,Interest,5,2022-10-28
181,33,144,Require,5,2023-11-09
182,127,648,Standard,3,2025-05-18
183,255,339,Claim,1,2024-08-14
184,84,811,Prevent,3,2023-01-23
185,452,477,Yet,2,2025-01-30
186,211,909,Degree,1,2024-03-03
187,322,52,Next,3,2025-04-03
188,446,202,Who,4,2022-12-02
189,50,568,Case,1,2024-06-09
190,499,476,Room,1,2024-05-15
191,207,353,Reason,4,2024-09-06
192,496,13,Own,4,2024-02-14
193,200,512,Meeting,3,2024-12-22
194,105,254,Citizen,3,2022-12-21
195,410,856,Forget,4,2025-05-01
196,263,368,Figure,5,2025-02-26
197,359,53,Student,1,2022-12-01
198,172,752,Movie,2,2025-05-20
199,356,589,Bar,4,2024-09-26
200,85,354,Attack,1,2023-07-14
201,405,427,Hour,1,2023-03-23
202,387,837,Successful,1,2025-03-21
203,84,163,Environment,5,2023-06-25
204,490,154,Put,3,2023-09-01
205,389,369,Social,1,2023-06-05
206,454,652,Hold,1,2025-06-05
207,351,834,Leg,2,2022-12-08
208,355,992,Everything,2,2025-01-05
209,23,744,Citizen,5,2023-04-28
210,243,746,Deal,5,2025-01-27
211,199,84,Practice,1,2025-03-28
212,236,584,Personal,2,2023-05-16
213,365,36,Born,1,2024-10-22
214,432,984,Address,4,2023-07-26
215,369,414,American,4,2023-06-30
216,430,701,Research,1,2023-04-11
217,261,615,Many,3,2025-01-18
218,106,472,Important,4,2024-09-07
219,231,470,Meet,3,2025-05-30
220,479,377,Difference,3,2024-05-15
221,105,437,Heart,3,2022-12-18
222,276,924,President,3,2024-04-20
223,412,118,People,2,2024-04-07
224,294,507,These,4,2025-07-17
225,83,108,Upon,4,2025-08-14
226,203,556,Wish,2,2022-11-13
227,431,121,Make,3,2023-06-18
228,38,813,Much,5,2024-07-26
229,368,704,Family,2,2025-05-08
230,320,56,Ask,1,2024-12-01
231,185,51,Article,4,2023-11-18
232,424,53,Certain,2,2025-05-03
233,87,170,Say,1,2025-06-11
234,379,862,Whatever,1,2024-03-21
235,101,32,Good,4,2024-02-03
236,245,607,Check,2,2024-02-29
237,482,528,Western,1,2022-11-14
238,299,261,Wear,4,2024-07-22
239,140,277,True,5,2022-12-04
240,145,765,Score,5,2024-11-02
241,181,747,Feeling,5,2024-10-14
242,301,727,Over,2,2023-06-12
243,233,188,Network,5,2023-12-23
244,313,257,Especially,5,2023-07-14
245,337,5,Hit,2,2025-03-11
246,13,998,Almost,5,2023-04-26
247,33,247,Clear,5,2023-01-02
248,160,182,Weight,1,2024-12-18
249,172,182,Morning,4,2022-10-23
250,371,647,Edge,1,2022-12-17
251,7,81,Debate,3,2022-11-09
252,289,967,Executive,4,2024-12-27
253,383,736,Fact,2,2023-03-05
254,112,318,Rule,5,2024-04-04
255,83,61,Next,4,2023-11-23
256,151,431,Stand,4,2025-08-21
257,228,329,Compare,5,2024-03-09
258,492,758,Will,2,2024-08-13
259,240,826,Kitchen,2,2023-02-19
260,262,192,Budget,2,2023-06-19
261,245,595,Me,2,2025-05-27
262,191,687,Home,5,2024-05-19
263,421,107,Manage,1,2023-08-23
264,223,147,Instead,5,2024-09-23
265,343,340,Trouble,3,2023-08-25
266,98,581,Since,4,2025-08-18
267,460,209,Than,5,2023-05-06
268,23,71,Series,4,2024-02-23
269,318,234,Including,5,2024-02-21
270,108,39,Task,2,2025-06-22
271,500,746,Politics,4,2022-11-16
272,485,563,Part,1,2025-01-31
273,438,633,Relationship,4,2023-12-09
274,239,291,Head,4,2025-04-30
275,31,824,To,3,2025-02-05
276,217,364,Other,5,2025-07-30
277,381,858,Staff,2,2022-10-08
278,77,418,When,4,2024-12-04
279,50,145,Grow,5,2022-11-29
280,277,674,Officer,5,2023-02-23
281,89,71,Arrive,2,2024-06-12
282,497,217,Machine,4,2024-03-20
283,408,704,Experience,1,2025-07-31
284,255,738,Answer,5,2022-10-20
285,455,829,Task,1,2024-02-10
286,18,90,Other,4,2025-05-01
287,202,69,Ability,1,2025-03-24
288,442,992,Something,2,2023-02-16
289,440,956,Effect,5,2023-11-30
290,276,499,Else,4,2025-02-08
291,204,837,Share,3,2024-04-25
292,258,994,Open,5,2022-09-12
293,485,329,Politics,1,2025-06-08
294,24,248,Far,2,2024-06-26
295,277,549,Stay,1,2025-06-11
296,408,913,Worry,3,2022-10-25
297,30,503,Only,3,2024-10-07
298,76,410,Ok,1,2023-03-20
299,300,398,Several,3,2023-09-09
300,220,349,Action,5,2023-06-18
301,364,844,Song,5,2024-01-18
302,108,25,Ten,2,2024-01-25
303,71,142,Southern,3,2025-05-29
304,304,610,Your,3,2025-05-09
305,400,542,However,4,2025-03-23
306,46,690,Fish,2,2023-04-12
307,325,629,True,1,2024-06-14
308,248,688,East,4,2022-11-12
309,218,734,Five,2,2025-05-30
310,493,571,Miss,1,2025-01-30
311,416,623,Instead,2,2023-03-19
312,242,171,Else,4,2023-10-17
313,416,535,Plan,2,2024-06-13
314,412,440,Fear,3,2024-10-06
315,53,530,Visit,4,2023-11-25
316,69,943,Very,5,2023-11-13
317,407,878,Address,1,2023-01-23
318,422,593,Too,3,2025-08-16
319,420,318,Know,2,2023-12-12
320,264,125,Specific,4,2025-04-07
321,477,26,Poor,4,2025-04-11
322,143,811,Actually,3,2025-08-11
323,108,282,Doctor,1,2023-10-13
324,166,397,Try,2,2024-05-13
325,16,918,Agree,4,2023-09-15
